"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"142","L_90",28,59,"1_C_5","Crest",112692.291282265,FALSE,22.75,19147100104,"19147100104_1_C_5",149.653381160712,-19.6083245760358
"143","L_90",28,59,"1_SS_6","Sheltered Slope",30493.2088429946,FALSE,32.2307692307692,19147100104,"19147100104_1_SS_6",149.649564502949,-19.6092316178945
"144","L_91",28,46,"1_BR_10","Back Reef",15919.0739375781,FALSE,28.5185185185185,19147100104,"19147100104_1_BR_10",149.690736090024,-19.6423768204905
"145","L_92",25,47,"1_BR_11","Back Reef",8291.35887584696,FALSE,20.0555555555556,19147100104,"19147100104_1_BR_11",149.68101326983,-19.646175407177
"146","L_92",25,47,"1_C_4","Crest",70313.1559495213,FALSE,27.0053475935829,19147100104,"19147100104_1_C_4",149.680891846108,-19.6486743620999
"147","L_92",25,47,"1_IF_4","Inner Flat",64673.6677074302,FALSE,23.7410071942446,19147100104,"19147100104_1_IF_4",149.682336001241,-19.6470422712488
"148","L_92",25,47,"1_OF_11","Outer Flat",14593.0901275566,FALSE,38.0645161290323,19147100104,"19147100104_1_OF_11",149.679916884398,-19.6478950019872
"149","L_93",28,58,"1_BR_2","Back Reef",14584.5558127984,TRUE,13.2,19147100104,"19147100104_1_BR_2",149.653678884109,-19.6123926720216
"150","L_93",28,58,"1_OF_10","Outer Flat",109381.717292133,FALSE,57.0205479452055,19147100104,"19147100104_1_OF_10",149.653679479568,-19.6107961826881
"151","L_94",27,57,"1_BR_3","Back Reef",29502.2413801323,FALSE,41.7675159235669,19147100104,"19147100104_1_BR_3",149.656107433469,-19.6158307864135
"152","L_94",27,57,"1_S_21","Slope",994.475391853601,FALSE,35,19147100104,"19147100104_1_S_21",149.655034835129,-19.6173650033219
"153","L_95",27,54,"1_BR_4","Back Reef",19229.479409629,FALSE,33.0392156862745,19147100104,"19147100104_1_BR_4",149.665053341664,-19.6259397004246
"154","L_95",27,54,"1_SS_12","Sheltered Slope",34480.1950807297,FALSE,24.4864864864865,19147100104,"19147100104_1_SS_12",149.663872525621,-19.6257005942221
"155","L_96",30,50,"1_BR_5","Back Reef",8289.05594796408,FALSE,35,19147100104,"19147100104_1_BR_5",149.683532492596,-19.6257627173283
"156","L_96",30,50,"1_SS_7","Sheltered Slope",69296.8329455685,FALSE,26.6757493188011,19147100104,"19147100104_1_SS_7",149.684729422651,-19.625813524528
