site_id,DHW16,DHW17,DHW20
ER_OF_2,11.0166,4.0655,5.6072
ER_OF_20,10.8074,4.0605,5.3444
ER_OF_3,11.2814,4.1456,5.7475
ER_OF_4,10.9515,4.1307,5.5617
ER_OF_5,10.3277,3.5316,4.7362
ER_OF_6,11.7179,5.3381,7.6196
ER_OF_7,11.2518,4.1505,5.7785
ER_OF_8,9.7475,3.6184,4.8192
ER_OF_9,9.776,3.8277,5.1511
ER_P_1,10.0818,3.4774,4.4837
ER_P_2,11.6341,5.2033,7.3699
ER_SS_1,12.1349,5.6728,8.2337
ER_SS_10,9.6968,3.2742,4.0193
ER_SS_11,11.4629,5.0756,7.1433
ER_SS_12,11.2346,4.9937,7.2352
ER_SS_2,12.302,5.8212,8.6103
ER_SS_3,9.9849,3.4127,4.3679
ER_SS_4,9.4756,3.42,4.5008
ER_SS_5,9.5498,3.5954,4.7739
ER_SS_6,12.9574,6.3768,9.5034
ER_SS_7,12.7859,6.2156,9.2016
ER_SS_8,9.7091,3.6513,4.8496
ER_SS_9,9.0422,2.9456,3.6619
ER_S_1,9.5684,3.6321,4.835
ER_S_10,11.7259,5.2016,7.6172
ER_S_11,10.2704,3.7453,4.706
ER_S_12,8.958,3.0602,3.8896
ER_S_13,11.0706,4.0072,5.555
ER_S_14,10.0106,3.4968,4.5578
ER_S_15,13.2018,6.6038,9.8154
ER_S_16,9.2997,3.3548,4.3809
ER_S_17,10.4337,4.2597,5.9463
ER_S_18,11.2328,4.2037,6.0264
ER_S_19,11.4629,5.0756,7.1433
ER_S_2,10.9894,4.1976,5.6417
ER_S_20,11.2575,4.1539,5.8321
ER_S_21,11.4511,4.9874,7.21
ER_S_22,12.0012,5.4328,8.0492
ER_S_23,10.4725,4.3149,6.0046
ER_S_24,10.3234,3.6421,4.8145
ER_S_25,9.0409,3.0791,3.7574
ER_S_26,8.9965,2.8802,3.4454
ER_S_27,11.239,4.2418,6.178
ER_S_28,9.9612,3.7808,5.0558
ER_S_29,10.4496,3.6662,4.9156
ER_S_3,10.8162,4.1364,5.382
ER_S_30,9.1992,3.256,4.1369
ER_S_31,12.7713,6.1544,9.0797
ER_S_32,11.4921,5.1551,7.5389
ER_S_33,11.4084,4.232,5.9487
ER_S_34,13.0827,6.5291,9.7483
ER_S_35,12.3517,5.7559,8.6143
ER_S_36,10.7739,4.5219,6.218
ER_S_37,9.0245,2.9559,3.5867
ER_S_38,9.4952,3.2955,4.0178
ER_S_39,12.5689,6.0688,9.112
ER_S_4,13.1893,6.6856,9.9704
ER_S_40,10.774,3.851,5.2762
ER_S_41,10.3334,4.1238,5.6048
ER_S_42,9.5564,3.2507,3.9092
ER_S_43,12.4168,5.8463,8.5059
ER_S_44,9.7834,3.5515,4.6908
ER_S_45,9.8744,3.5288,4.5784
ER_S_46,12.03,5.5388,7.9239
ER_S_47,11.2284,4.9054,7.0465
ER_S_48,11.5563,4.3316,6.0378
ER_S_49,13.073,6.5593,9.7788
ER_S_5,11.1114,4.1539,5.8349
ER_S_50,11.5086,4.5158,6.6526
ER_S_6,11.2321,4.7803,6.8512
ER_S_7,11.1818,4.312,6.012
ER_S_8,9.2821,3.346,4.3666
ER_S_9,11.4927,4.2753,5.9854
BR_BR_1,12.9693,6.0086,8.9029
BR_C_1,12.5523,5.6139,8.3039
BR_IF_1,12.9008,5.9437,8.8062
BR_OF_1,12.9557,6.0092,8.8796
BR_OF_2,12.7109,5.7722,8.5246
BR_SS_1,13.0742,6.13,9.0531
BR_S_1,12.8344,5.8877,8.7092
BR_S_2,13.0742,6.13,9.0531
BR_S_3,12.5652,5.6222,8.3231
