Year,maxDHW,RCP,Reef
2044,3.974561726,6,Milln
2045,13.39976555,6,Milln
2046,0.464960941,6,Milln
2047,0.486912454,6,Milln
2048,7.600406264,6,Milln
2049,1.058212359,6,Milln
2050,3.434516513,6,Milln
2051,2.06768053,6,Milln
2052,6.837499272,6,Milln
2053,4.212544207,6,Milln
2054,0.767110143,6,Milln
2055,0.296816962,6,Milln
2056,2.927630012,6,Milln
2057,4.618345586,6,Milln
2058,11.05287297,6,Milln
2059,19.0919985,6,Milln
2060,16.48207624,6,Milln
2061,7.358886184,6,Milln
2062,6.830941298,6,Milln
2063,14.3537008,6,Milln
2064,2.462770596,6,Milln
2065,14.00941535,6,Milln
2066,14.14552789,6,Milln
2067,14.97162736,6,Milln
2068,4.902850239,6,Milln
2069,0.159183882,6,Milln
2070,1.028942892,6,Milln
2071,5.63637696,6,Milln
2072,11.96421282,6,Milln
2073,16.85332265,6,Milln
2074,6.651526036,6,Milln
2075,16.03607365,6,Milln
2076,8.878099193,6,Milln
2077,5.39435819,6,Milln
2078,15.87507893,6,Milln
2079,13.65203894,6,Milln
2080,17.18462367,6,Milln
2081,16.63093096,6,Milln
2082,19.757194,6,Milln
2083,18.4830033,6,Milln
2084,10.67661793,6,Milln
2085,20.12760066,6,Milln
2086,10.22968283,6,Milln
2087,21.70931195,6,Milln
2088,13.6595559,6,Milln
2089,17.82061411,6,Milln
2090,15.85079688,6,Milln
2091,18.32747459,6,Milln
2092,13.14865906,6,Milln
2093,12.99996717,6,Milln
2094,7.956639743,6,Milln
2095,26.74462647,6,Milln
2096,23.496991,6,Milln
2097,15.13233087,6,Milln
2098,19.90807607,6,Milln
2099,8.565134301,6,Milln
2021,0,8.5,Milln
2022,2.29801538,8.5,Milln
2023,2.799551276,8.5,Milln
2024,0.153070186,8.5,Milln
2025,0,8.5,Milln
2026,2.106767562,8.5,Milln
2027,12.61541319,8.5,Milln
2028,2.070574622,8.5,Milln
2029,11.89767435,8.5,Milln
2030,10.08472551,8.5,Milln
2031,1.980665732,8.5,Milln
2032,9.373216858,8.5,Milln
2033,6.4659539,8.5,Milln
2034,8.572241293,8.5,Milln
