"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"117",-19.6192831954119,149.654953841288,"L_117","1_SS_1","Sheltered Slope",103096.701922094,FALSE,27.0199275362319,19147100104,"19147100104_1_SS_1",26,57
"118",-19.6346515221326,149.689794535958,"L_118","1_SS_10","Sheltered Slope",95172.1959534031,FALSE,11.8774509803922,19147100104,"19147100104_1_SS_10",29,48
"119",-19.6467016121065,149.679690876543,"L_119","1_SS_11","Sheltered Slope",83908.8032598523,FALSE,24.122905027933,19147100104,"19147100104_1_SS_11",25,48
"120",-19.6305464563578,149.684939059557,"L_120","1_SS_2","Sheltered Slope",184693.419550017,FALSE,19.5242914979757,19147100104,"19147100104_1_SS_2",29,49
"121",-19.6243892614237,149.655105306743,"L_121","1_SS_3","Sheltered Slope",97468.2222798411,FALSE,36.3888888888889,19147100104,"19147100104_1_SS_3",25,56
"122",-19.6146608656461,149.654225829904,"L_122","1_SS_4","Sheltered Slope",90825.0647488367,FALSE,30.3480040941658,19147100104,"19147100104_1_SS_4",27,58
"123",-19.6428417753998,149.688633376641,"L_123","1_S_1","Slope",192687.039588733,FALSE,23.8950676982592,19147100104,"19147100104_1_S_1",27,46
"124",-19.6269587619895,149.663864760753,"L_124","1_S_10","Slope",101784.676929365,FALSE,20.4783808647654,19147100104,"19147100104_1_S_10",26,54
"125",-19.6259166847696,149.668173172751,"L_125","1_S_13","Slope",65314.5775545384,FALSE,23.8705035971223,19147100104,"19147100104_1_S_13",27,53
"126",-19.6311868915608,149.665195904297,"L_126","1_S_19","Slope",59682.114552591,FALSE,22.3708920187793,19147100104,"19147100104_1_S_19",26,53
"127",-19.6230747931158,149.686327175628,"L_127","1_S_2","Slope",107754.662851606,FALSE,30.2818733738075,19147100104,"19147100104_1_S_2",31,50
"128",-19.6428976921386,149.662842910203,"L_128","1_S_22","Slope",994.85741049191,FALSE,35,19147100104,"19147100104_1_S_22",23,52
"129",-19.6087638140812,149.656268498746,"L_129","1_S_3","Slope",44414.7222400093,FALSE,15.9282700421941,19147100104,"19147100104_1_S_3",29,58
"130",-19.6495246935698,149.680438123025,"L_130","1_S_4","Slope",30845.2432343238,FALSE,22.5914634146341,19147100104,"19147100104_1_S_4",24,47
"131",-19.6326707514409,149.693677529466,"L_131","1_S_5","Slope",68642.3352856226,FALSE,16.4665757162347,19147100104,"19147100104_1_S_5",30,47
"132",-19.6360333510318,149.650904409478,"L_132","1_S_7","Slope",91514.4413703098,FALSE,21.7402464065708,19147100104,"19147100104_1_S_7",22,55
"133",-19.6193801373655,149.677294173521,"L_133","1_S_8","Slope",91169.5694070128,FALSE,28.6914460285132,19147100104,"19147100104_1_S_8",30,52
"134",-19.6165914637357,149.666760427331,"L_134","1_S_9","Slope",52708.6819262002,FALSE,32.2242314647378,19147100104,"19147100104_1_S_9",29,55
"135",-19.6064905549134,149.718058609196,"L_135","1_BR_1","Back Reef",22874.2114135176,FALSE,11.6122448979592,19149100104,"19149100104_1_BR_1",39,46
"136",-19.6088408245842,149.723037362646,"L_136","1_BR_2","Back Reef",19560.0735923471,FALSE,38.7254901960784,19149100104,"19149100104_1_BR_2",40,45
"137",-19.6060965894718,149.726136670673,"L_137","1_C_1","Crest",126308.077827083,FALSE,18.9948263118995,19149100104,"19149100104_1_C_1",41,45
