,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
149,-19.64017157,149.7582215,L_149,1_C_1,Crest,100839.9967,FALSE,25.65298507,19153100104,19153100104_1_C_1,39,33,L_149_V1,0
150,-19.64067371,149.7558288,L_150,1_SS_1,Sheltered Slope,16917.22352,FALSE,23.1741573,19153100104,19153100104_1_SS_1,39,34,L_150_V1,0
151,-19.63967835,149.7602139,L_151,1_S_1,Slope,112118.1059,FALSE,26.32427844,19153100104,19153100104_1_S_1,40,33,L_151_V1,0
152,-19.65155847,149.7173279,L_152,1_BR_1,Back Reef,3317.190682,FALSE,29.70588235,19155100104,19155100104_1_BR_1,30,39,L_152_V1,0
153,-19.65106863,149.7542993,L_153,1_BR_1,Back Reef,2322.298296,FALSE,40.18518519,19156100104,19156100104_1_BR_1,36,32,L_153_V1,0
154,-19.66016709,149.7629376,L_154,1_BR_2,Back Reef,5972.552405,FALSE,29.35483871,19156100104,19156100104_1_BR_2,36,29,L_154_V1,0
155,-19.65943108,149.7465718,L_155,1_BR_3,Back Reef,9290.046544,TRUE,26.73469388,19156100104,19156100104_1_BR_3,33,33,L_155_V1,0
156,-19.66882421,149.7458557,L_156,1_BR_4,Back Reef,5641.113305,FALSE,7.8125,19156100104,19156100104_1_BR_4,31,31,L_156_V1,0
157,-19.67731887,149.7627988,L_157,1_BR_5,Back Reef,5973.982189,FALSE,30.08196721,19156100104,19156100104_1_BR_5,32,27,L_157_V1,0
158,-19.67737683,149.7453626,L_158,1_BR_6,Back Reef,4646.170859,FALSE,29.34782609,19156100104,19156100104_1_BR_6,29,30,L_158_V1,0
159,-19.67887702,149.7522646,L_159,1_BR_7,Back Reef,8960.861473,FALSE,25.63829787,19156100104,19156100104_1_BR_7,30,28,L_159_V1,0
160,-19.64774462,149.7597859,L_160,1_C_1,Crest,113789.3541,FALSE,47.15993405,19156100104,19156100104_1_C_1,38,32,L_160_V1,0
161,-19.66158186,149.750645,L_161,1_C_3,Crest,94231.70151,FALSE,57.59682224,19156100104,19156100104_1_C_3,33,31,L_161_V1,0
162,-19.66984675,149.7499044,L_162,1_C_4,Crest,81632.47238,FALSE,21.51898734,19156100104,19156100104_1_C_4,32,30,L_162_V1,0
163,-19.67615817,149.7486195,L_163,1_C_5,Crest,47125.14306,FALSE,15.87301587,19156100104,19156100104_1_C_5,30,30,L_163_V1,0
164,-19.64916438,149.7547688,L_164,1_IF_1,Inner Flat,79619.65597,FALSE,56.11764706,19156100104,19156100104_1_IF_1,37,33,L_164_V1,0
165,-19.65660877,149.7514461,L_165,1_OF_2,Outer Flat,66024.12968,FALSE,25.1788269,19156100104,19156100104_1_OF_2,35,32,L_165_V1,0
166,-19.65075599,149.7537323,L_166,1_OF_3,Outer Flat,186446.2193,FALSE,47.95943916,19156100104,19156100104_1_OF_3,36,33,L_166_V1,0
